Time,USB Status,CPU Temperature,Throttle Status,CPU Frequency,Core Frequency,CPU Voltage,Memory Controller Voltage,Memory I/O Voltage,Memory Chip Voltage
11.441,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
11.518,1,59.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
11.594,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
11.670,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
11.745,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
11.821,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
11.897,1,60.3,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
11.972,1,60.8,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
12.50,1,60.3,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
12.125,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
12.202,1,59.4,0,1200287104,349734368,0.8600,1.1000,1.1000,1.1000
12.295,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
12.389,1,58.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
12.464,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
12.542,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
12.618,1,60.3,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
12.694,1,60.3,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
12.770,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
12.846,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
12.923,1,60.3,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
12.999,1,59.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
13.74,1,60.3,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
13.150,1,60.3,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
13.225,1,60.3,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
13.302,1,60.3,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
13.379,1,60.8,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
13.455,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
13.531,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
13.607,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
13.684,1,59.4,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
13.760,1,59.4,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
13.835,1,59.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
13.910,1,60.3,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
13.986,1,59.4,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000
14.62,1,59.9,0,1800404352,500000992,0.9260,1.1000,1.1000,1.1000
14.139,1,59.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
14.215,1,60.3,0,1800457088,499987808,0.9260,1.1000,1.1000,1.1000
14.291,1,59.4,0,1800404352,499987808,0.9260,1.1000,1.1000,1.1000
14.368,1,60.3,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
14.445,1,58.9,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
14.521,1,60.3,0,1800457088,500000992,0.9260,1.1000,1.1000,1.1000
