Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (Mb)
50.840,1,56.4,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.1,5.8
50.917,1,56.9,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.6,5.8
50.995,1,56.9,33.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.3,5.8
51.74,1,56.0,27.0%,50000,1200287104,349734368,0.8500,1.1000,1.1000,1.1000,7898.4,7442.9,5.8
51.179,1,56.0,34.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.0,5.8
51.256,1,56.4,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.4,5.8
51.334,1,56.0,33.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7442.6,5.8
51.411,1,56.4,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.7,5.8
51.488,1,56.9,34.4%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7443.4,5.8
51.566,1,56.9,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.0,5.8
51.643,1,57.4,29.0%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7443.1,5.8
51.720,1,57.4,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.1,5.7
51.797,1,56.4,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.2,5.7
51.878,1,56.9,33.3%,50000,1200287104,349721184,0.8500,1.1000,1.1000,1.1000,7898.4,7449.0,5.7
51.988,1,56.0,29.8%,50000,1100249984,324883296,0.8500,1.1000,1.1000,1.1000,7898.4,7451.5,5.7
52.104,1,57.4,28.3%,50000,1100249984,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7450.5,5.7
52.208,1,55.5,27.3%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7448.8,5.7
52.286,1,56.4,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.7,5.7
52.364,1,56.4,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7446.5,5.7
52.443,1,56.4,30.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.3,5.7
52.520,1,56.9,30.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.7,5.7
52.597,1,56.0,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.6,5.7
52.675,1,56.9,35.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.9,5.8
52.753,1,56.9,28.1%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7444.1,5.8
52.832,1,55.5,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.1,5.8
52.910,1,56.9,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.4,5.7
52.988,1,56.9,24.1%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7444.5,5.7
53.66,1,56.9,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.7,5.7
53.144,1,56.9,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.8,5.8
53.221,1,56.9,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.2,5.8
53.299,1,57.4,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.9,5.7
53.377,1,56.4,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.9,5.7
53.455,1,57.4,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.1,5.7
53.533,1,56.4,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.3,5.7
53.613,1,57.4,28.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.7,5.7
53.691,1,56.9,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.7,5.7
53.768,1,56.9,26.7%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7445.3,5.7
53.847,1,56.9,25.8%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.6,5.7
53.924,1,57.4,27.6%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.9,5.7
54.1,1,56.4,31.3%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7444.9,5.7
54.81,1,56.0,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.0,5.7
54.158,1,56.9,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.1,5.7
54.236,1,56.4,29.0%,50000,1800457088,500000992,0.8500,1.1000,1.1000,1.1000,7898.4,7444.5,5.7
54.325,1,56.9,26.8%,50000,1200287104,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.0,5.7
54.423,1,56.9,36.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.5,5.7
54.500,1,56.4,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.0,5.7
54.577,1,56.9,31.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.9,5.7
54.655,1,56.9,33.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.5,5.7
54.733,1,56.9,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.5,5.7
54.811,1,57.4,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.9,5.7
54.888,1,57.4,31.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.4,5.7
54.966,1,56.9,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.5,5.7
55.44,1,56.9,31.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.2,5.7
55.121,1,56.4,31.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.3,5.7
55.198,1,56.0,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.3,5.7
55.276,1,56.9,27.6%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.6,5.7
55.353,1,57.4,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.0,5.8
55.431,1,56.9,33.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.9,5.8
55.509,1,56.4,30.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.8,5.7
55.587,1,56.4,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.9,5.8
55.665,1,57.9,37.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.9,5.8
55.743,1,57.4,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.9,5.8
55.820,1,57.4,24.1%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.0,5.8
55.898,1,56.4,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.4,5.7
55.975,1,56.9,31.2%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.0,5.8
56.54,1,57.4,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.4,5.8
56.132,1,57.4,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.8,5.8
56.209,1,57.4,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.3,5.7
56.288,1,56.4,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.3,5.7
56.365,1,57.4,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.6,5.8
56.443,1,57.4,26.7%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7443.7,5.8
56.522,1,56.4,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.9,5.8
56.599,1,56.9,35.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.8,5.8
56.676,1,57.4,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.2,5.8
56.755,1,57.4,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.9,5.8
56.832,1,57.4,32.4%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.3,5.8
56.911,1,57.4,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.5,5.8
56.989,1,56.9,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.7,5.8
57.66,1,57.9,30.0%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7443.7,5.8
57.144,1,58.4,30.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.8,5.8
57.222,1,56.4,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.2,5.8
57.300,1,56.9,24.1%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7443.2,5.8
57.377,1,56.9,30.0%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7443.2,5.8
57.454,1,57.4,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.2,5.8
57.532,1,57.4,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7442.9,5.8
57.610,1,57.4,25.8%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.1,5.8
57.688,1,56.0,32.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.2,5.8
57.766,1,57.4,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7442.8,5.8
57.844,1,56.4,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7442.9,5.8
57.921,1,56.0,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7442.9,5.8
57.999,1,56.9,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.3,5.8
58.77,1,56.9,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7442.7,5.8
58.154,1,56.4,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.1,5.8
58.233,1,56.4,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7442.9,5.8
58.310,1,56.9,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.0,5.8
58.387,1,57.4,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7443.5,5.8
58.464,1,57.9,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7442.8,5.8
58.541,1,56.0,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7444.4,5.7
58.619,1,56.9,31.6%,50000,1100249984,324870112,0.8500,1.1000,1.1000,1.1000,7898.4,7450.7,5.7
58.732,1,56.4,27.9%,50000,1200287104,349721184,0.8500,1.1000,1.1000,1.1000,7898.4,7451.9,5.7
58.841,1,57.4,25.6%,50000,1100302720,324870112,0.9160,1.1000,1.1000,1.1000,7898.4,7453.6,5.6
58.951,1,56.4,25.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.6,5.6
59.28,1,56.9,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.3,5.6
59.105,1,56.9,27.6%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7452.8,5.6
59.183,1,57.4,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7452.2,5.6
59.261,1,56.9,25.8%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.4,5.7
59.338,1,56.9,32.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.6,5.7
59.416,1,56.4,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.2,5.7
59.494,1,57.4,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.5,5.7
59.571,1,57.4,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.6,5.7
59.649,1,57.4,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.3,5.7
59.726,1,56.4,29.0%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7448.3,5.7
59.804,1,56.9,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.9,5.7
59.882,1,56.9,24.1%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.2,5.7
59.959,1,56.9,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.1,5.7
60.36,1,57.9,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.6,5.7
60.114,1,57.4,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.0,5.7
60.193,1,56.9,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.9,5.7
60.271,1,56.9,30.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.9,5.7
60.349,1,57.4,34.4%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.4,5.7
60.426,1,57.4,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.1,5.7
60.504,1,56.9,29.0%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7448.0,5.7
60.582,1,56.9,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.2,5.7
60.660,1,56.9,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.8,5.7
60.737,1,57.4,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.1,5.7
60.815,1,57.4,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.0,5.7
60.892,1,56.9,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.1,5.7
60.969,1,56.9,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.0,5.7
61.48,1,57.4,29.7%,50000,1200287104,349721184,0.8500,1.1000,1.1000,1.1000,7898.4,7448.6,5.7
61.157,1,56.4,31.1%,50000,1200287104,349721184,0.8500,1.1000,1.1000,1.1000,7898.4,7448.3,5.7
61.265,1,56.0,26.8%,50000,1200287104,349721184,0.8500,1.1000,1.1000,1.1000,7898.4,7448.1,5.7
61.366,1,56.0,32.4%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.8,5.7
61.444,1,56.4,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.3,5.7
61.522,1,56.9,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.9,5.7
61.600,1,56.9,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.9,5.7
61.678,1,56.0,26.7%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7448.1,5.7
61.755,1,57.4,33.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.1,5.7
61.832,1,56.9,29.0%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7448.1,5.7
61.911,1,57.4,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.9,5.7
61.989,1,56.9,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.7,5.7
62.66,1,56.4,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.3,5.7
62.144,1,56.4,31.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.2,5.7
62.222,1,56.9,26.7%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7447.6,5.7
62.299,1,56.9,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.0,5.7
62.377,1,57.4,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.9,5.7
62.454,1,56.0,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.1,5.7
62.530,1,56.9,25.0%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7448.5,5.7
62.607,1,56.9,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.1,5.7
62.685,1,56.9,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7452.3,5.6
62.764,1,56.9,28.9%,50000,1100249984,324870112,0.8500,1.1000,1.1000,1.1000,7898.4,7454.4,5.6
62.874,1,56.9,25.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7455.9,5.6
62.952,1,56.9,29.0%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7456.2,5.6
63.29,1,56.4,27.6%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7455.4,5.6
63.106,1,56.9,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.7,5.6
63.184,1,56.9,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.5,5.6
63.261,1,56.4,33.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.6,5.6
63.338,1,56.9,32.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7452.7,5.6
63.416,1,56.4,26.7%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7451.6,5.7
63.494,1,56.9,31.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.0,5.7
63.572,1,56.9,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.8,5.7
63.649,1,56.4,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.8,5.7
63.726,1,57.4,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.4,5.7
63.803,1,56.9,31.3%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7448.2,5.7
63.881,1,56.9,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.3,5.7
63.958,1,57.4,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.3,5.7
64.36,1,57.4,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.1,5.7
64.113,1,58.4,29.0%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7452.2,5.6
64.191,1,56.9,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.8,5.6
64.268,1,56.9,30.8%,50000,1100249984,324883296,0.8500,1.1000,1.1000,1.1000,7898.4,7455.8,5.6
64.381,1,56.9,29.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.3,5.6
64.458,1,56.0,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.3,5.6
64.536,1,57.9,35.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.3,5.6
64.614,1,57.9,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.3,5.6
64.692,1,57.4,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.9,5.6
64.769,1,57.4,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.9,5.6
64.847,1,57.4,24.1%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7456.9,5.6
64.924,1,57.4,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7457.8,5.6
65.1,1,57.9,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7457.8,5.6
65.80,1,56.0,26.3%,50000,1000265600,299768544,0.9160,1.1000,1.1000,1.1000,7898.4,7458.5,5.6
65.198,1,56.4,24.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7459.6,5.6
65.275,1,56.4,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7459.8,5.6
65.352,1,56.9,30.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7460.5,5.5
65.429,1,56.9,25.8%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7460.9,5.5
65.507,1,57.4,32.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7461.6,5.5
65.585,1,56.9,26.7%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7463.0,5.5
65.662,1,56.4,26.7%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7464.1,5.5
65.739,1,57.4,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7464.1,5.5
65.817,1,56.9,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7464.8,5.5
65.905,1,57.4,24.4%,50000,1000212864,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7465.5,5.5
66.13,1,56.9,32.4%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7465.0,5.5
66.91,1,57.4,24.1%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7465.0,5.5
66.169,1,56.9,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7464.1,5.5
66.247,1,56.9,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7463.6,5.5
66.324,1,57.9,31.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7464.9,5.5
66.402,1,57.4,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7465.1,5.5
66.479,1,56.9,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7464.2,5.5
66.557,1,56.9,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7464.2,5.5
66.634,1,56.9,29.0%,50000,1800457088,500000992,0.8500,1.1000,1.1000,1.1000,7898.4,7464.2,5.5
66.725,1,56.9,28.9%,50000,1200287104,349734368,0.8500,1.1000,1.1000,1.1000,7898.4,7464.2,5.5
66.846,1,57.4,28.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7463.9,5.5
66.940,1,56.4,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7463.9,5.5
67.18,1,57.4,24.1%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7463.9,5.5
67.95,1,56.9,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7463.9,5.5
67.173,1,56.9,33.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7463.7,5.5
67.250,1,57.4,27.6%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7463.7,5.5
67.328,1,56.9,23.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7463.7,5.5
67.405,1,56.9,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7463.7,5.5
67.483,1,56.4,32.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7463.7,5.5
67.560,1,56.4,26.7%,50000,1000265600,299768544,0.8500,1.1000,1.1000,1.1000,7898.4,7463.4,5.5
67.662,1,56.4,25.5%,50000,1100249984,324870112,0.8500,1.1000,1.1000,1.1000,7898.4,7463.2,5.5
67.782,1,56.4,28.6%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7462.9,5.5
67.867,1,57.9,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7462.4,5.5
67.944,1,56.9,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7459.5,5.6
68.21,1,56.9,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7457.0,5.6
68.99,1,57.4,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7455.0,5.6
68.177,1,57.4,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.3,5.6
68.255,1,56.9,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7452.8,5.6
68.334,1,57.4,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.2,5.7
68.412,1,57.4,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.1,5.7
68.490,1,57.4,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.9,5.7
68.567,1,57.4,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.7,5.7
68.644,1,57.4,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.5,5.7
68.723,1,57.4,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.0,5.6
68.799,1,56.4,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7454.9,5.6
68.877,1,57.4,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.7,5.6
68.955,1,56.9,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7452.6,5.6
69.33,1,56.9,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.6,5.7
