Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (Mb)
4.358,1,53.5,24.1%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7453.1,5.6
4.435,1,53.5,27.6%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7453.0,5.6
4.514,1,54.0,30.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.9,5.7
4.591,1,54.0,27.6%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7452.6,5.6
4.668,1,53.5,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7452.1,5.7
4.746,1,53.0,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.8,5.7
4.824,1,54.5,26.7%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7451.7,5.7
4.902,1,54.0,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.4,5.7
4.980,1,54.0,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.8,5.7
5.57,1,54.0,31.2%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.9,5.7
5.135,1,53.5,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.1,5.7
5.213,1,53.0,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.1,5.7
5.291,1,53.5,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.4,5.7
5.370,1,53.5,28.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.4,5.7
5.447,1,52.5,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.2,5.7
5.525,1,54.5,31.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.4,5.7
5.603,1,54.5,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.0,5.7
5.681,1,54.0,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.7,5.7
